name,parent,depth,is_category
Beschichtungen,01_OBD-database,2,True
Dämmstoffe,01_OBD-database,2,True
End_of_Life,01_OBD-database,2,True
Gebäudetechnik,01_OBD-database,2,True
Holz,01_OBD-database,2,True
Komponenten_von_Fenstern_und_Vorhangfassaden,01_OBD-database,2,True
Komposite,01_OBD-database,2,True
Kunststoffe,01_OBD-database,2,True
Metalle,01_OBD-database,2,True
Mineralische_Baustoffe,01_OBD-database,2,True
Sonstige,01_OBD-database,2,True
Bituminöse_Anstriche,Beschichtungen,3,True
Fassadenfarben,Beschichtungen,3,True
Grundierungen,Beschichtungen,3,True
Innenbeschichtungen,Beschichtungen,3,True
Lacke_und_Lasuren,Beschichtungen,3,True
Reaktionsharze,Beschichtungen,3,True
Baumwolle,Dämmstoffe,3,True
Blähperlit,Dämmstoffe,3,True
Calciumsilikat,Dämmstoffe,3,True
Dämmelemente,Dämmstoffe,3,True
Expandierter_Kork,Dämmstoffe,3,True
Expandiertes_Polystyrol_(EPS),Dämmstoffe,3,True
Extrudiertes_Polystyrol_(XPS),Dämmstoffe,3,True
Flachsfaser,Dämmstoffe,3,True
Hanffaser,Dämmstoffe,3,True
Harnstoff-Formaldehydharz,Dämmstoffe,3,True
Holzfasern,Dämmstoffe,3,True
Holzwolleplatten,Dämmstoffe,3,True
Kautschuk,Dämmstoffe,3,True
Melaminharz,Dämmstoffe,3,True
Mineralwolle,Dämmstoffe,3,True
Ortschaum,Dämmstoffe,3,True
Phenolharz-Hartschaum_(PF),Dämmstoffe,3,True
Polyethylen,Dämmstoffe,3,True
Polyurethan-Hartschaum_(PU),Dämmstoffe,3,True
Schaumbeton,Dämmstoffe,3,True
Schaumglas,Dämmstoffe,3,True
Siliziumdioxid-basiert,Dämmstoffe,3,True
Stroh,Dämmstoffe,3,True
Wärmedämmverbundsystem,Dämmstoffe,3,True
Zellulosefaser,Dämmstoffe,3,True
Generisch,End_of_Life,3,True
Beförderung,Gebäudetechnik,3,True
Brandschutz,Gebäudetechnik,3,True
Elektro,Gebäudetechnik,3,True
Heizung,Gebäudetechnik,3,True
Klimatisierung_und_Lüftung,Gebäudetechnik,3,True
Nutzung,Gebäudetechnik,3,True
Sanitär,Gebäudetechnik,3,True
Holzböden,Holz,3,True
Holzwerkstoffe,Holz,3,True
Modifiziertes_Holz,Holz,3,True
Vollholz,Holz,3,True
Antriebssysteme,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Beschläge,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Dichtungskomponenten,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Fassaden,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Fenster,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Füllungen,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Rahmen,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Tageslichtsysteme_und_Rauch-,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Türen_und_Tore,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Zubehör_für_Fenster_Fassaden_Türen_und_Tore,Komponenten_von_Fenstern_und_Vorhangfassaden,3,True
Systembauteile,Komposite,3,True
Bodenbeläge,Kunststoffe,3,True
Dachbahnen,Kunststoffe,3,True
Dichtmassen,Kunststoffe,3,True
Folien_und_Vliese,Kunststoffe,3,True
Kunststoffprofile_elastisch,Kunststoffe,3,True
Profile,Kunststoffe,3,True
Rohre,Kunststoffe,3,True
Aluminium,Metalle,3,True
Blei,Metalle,3,True
Edelstahl,Metalle,3,True
Kupfer,Metalle,3,True
Oberflächenbehandlung_und_Beschichtung_von_Metallen,Metalle,3,True
Stahl_und_Eisen,Metalle,3,True
Zink,Metalle,3,True
Asphalt,Mineralische_Baustoffe,3,True
Bindemittel,Mineralische_Baustoffe,3,True
Mörtel_und_Beton,Mineralische_Baustoffe,3,True
Steine_und_Elemente,Mineralische_Baustoffe,3,True
Zuschläge,Mineralische_Baustoffe,3,True
Baustellenprozesse,Sonstige,3,True
Energieträger_-_Bereitstellung_frei_Verbraucher,Sonstige,3,True
Güter_-_Transporte[t_km],Sonstige,3,True
Personen_-_Transporte[Personen_km],Sonstige,3,True
Aluminiumbleche,Aluminium,4,True
Aluminiumfolie,Aluminium,4,True
Aluminiumprofil,Aluminium,4,True
Gussteile_aus_Aluminium,Aluminium,4,True
elektrisch,Antriebssysteme,4,True
mechanisch,Antriebssysteme,4,True
Asphaltbinder,Asphalt,4,True
Gussassphalt,Asphalt,4,True
Splittmastixasphalt,Asphalt,4,True
Tragschichten,Asphalt,4,True
Baumwolle_konventionell,Baumwolle,4,True
Baumwolle_ökologisch,Baumwolle,4,True
